filename, language, JSON, JavaScript, Markdown, XML, Log, comment, blank, total
/home/mordoss/moja-njiva/redux/store/field1/fertilizationState.js, JavaScript, 0, 16, 0, 0, 0, 0, 1, 17
/home/mordoss/moja-njiva/redux/store/field1/groundWorksState.js, JavaScript, 0, 90, 0, 0, 0, 0, 4, 94
/home/mordoss/moja-njiva/redux/store/field1/index.js, JavaScript, 0, 14, 0, 0, 0, 0, 2, 16
/home/mordoss/moja-njiva/redux/store/field1/midRowCultivationState.js, JavaScript, 0, 12, 0, 0, 0, 0, 1, 13
/home/mordoss/moja-njiva/redux/store/field1/sowingState.js, JavaScript, 0, 4, 0, 0, 0, 0, 1, 5
/home/mordoss/moja-njiva/redux/store/field1/sprayingState.js, JavaScript, 0, 12, 0, 0, 0, 0, 2, 14
/home/mordoss/moja-njiva/redux/store/field2/basicState.js, JavaScript, 0, 7, 0, 0, 0, 0, 1, 8
/home/mordoss/moja-njiva/redux/store/field2/fertilizationState.js, JavaScript, 0, 16, 0, 0, 0, 0, 1, 17
/home/mordoss/moja-njiva/redux/store/field2/groundWorksState.js, JavaScript, 0, 90, 0, 0, 0, 0, 4, 94
/home/mordoss/moja-njiva/redux/store/field2/index.js, JavaScript, 0, 14, 0, 0, 0, 0, 2, 16
/home/mordoss/moja-njiva/redux/store/field2/midRowCultivationState.js, JavaScript, 0, 12, 0, 0, 0, 0, 1, 13
/home/mordoss/moja-njiva/redux/store/field2/sowingState.js, JavaScript, 0, 4, 0, 0, 0, 0, 1, 5
/home/mordoss/moja-njiva/redux/store/field2/sprayingState.js, JavaScript, 0, 12, 0, 0, 0, 0, 2, 14
/home/mordoss/moja-njiva/redux/store/field3/basicState.js, JavaScript, 0, 7, 0, 0, 0, 0, 1, 8
/home/mordoss/moja-njiva/redux/store/field3/fertilizationState.js, JavaScript, 0, 16, 0, 0, 0, 0, 1, 17
/home/mordoss/moja-njiva/redux/store/field3/groundWorksState.js, JavaScript, 0, 90, 0, 0, 0, 0, 4, 94
/home/mordoss/moja-njiva/redux/store/field3/index.js, JavaScript, 0, 14, 0, 0, 0, 0, 2, 16
/home/mordoss/moja-njiva/redux/store/field3/midRowCultivationState.js, JavaScript, 0, 12, 0, 0, 0, 0, 1, 13
/home/mordoss/moja-njiva/redux/store/field3/sowingState.js, JavaScript, 0, 4, 0, 0, 0, 0, 1, 5
/home/mordoss/moja-njiva/redux/store/field3/sprayingState.js, JavaScript, 0, 12, 0, 0, 0, 0, 2, 14
/home/mordoss/moja-njiva/redux/store/index.js, JavaScript, 0, 5, 0, 0, 0, 0, 3, 8
/home/mordoss/moja-njiva/redux/store/wholeState.js, JavaScript, 0, 11, 0, 0, 0, 0, 2, 13
/home/mordoss/moja-njiva/screens/AllFieldsScreen.js, JavaScript, 0, 34, 0, 0, 0, 2, 5, 41
/home/mordoss/moja-njiva/screens/CalendarScreen.js, JavaScript, 0, 10, 0, 0, 0, 0, 3, 13
/home/mordoss/moja-njiva/screens/FieldSettingsScreen.js, JavaScript, 0, 31, 0, 0, 0, 0, 4, 35
/home/mordoss/moja-njiva/screens/SettingsScreen.js, JavaScript, 0, 10, 0, 0, 0, 0, 3, 13
/home/mordoss/moja-njiva/theme/index.js, JavaScript, 0, 2, 0, 0, 0, 0, 2, 4
/home/mordoss/moja-njiva/theme/theme.js, JavaScript, 0, 46, 0, 0, 0, 2, 5, 53
/home/mordoss/moja-njiva/yarn-error.log, Log, 0, 0, 0, 0, 4764, 0, 876, 5640
Total, -, 63, 3136, 1, 565, 4764, 23, 1238, 9790
